id_venda,data,produto,categoria,vendedor,regiao,quantidade,preco_unitario,desconto
1,2026-06-25,Headset,Áudio,Ana,Nordeste,3.0,265.96,0.0
2,2026-01-08,SSD 1TB,Armazenamento,Mariana,Sul,7.0,518.53,0.0
3,2026-02-11,SSD 1TB,Armazenamento,Ana,Sul,2.0,550.96,0.0
4,2026-05-19,Teclado,Periféricos,Carlos,Sudeste,1.0,160.46,0.0
5,2026-04-10,Notebook,Informática,Carlos,Nordeste,3.0,3517.87,0.1
6,2026-03-13,SSD 1TB,Armazenamento,Joao,Sul,8.0,491.21,0.0
7,2026-02-12,Teclado,Periféricos,Joao,Sudeste,2.0,168.77,0.0
8,2026-03-23,Mouse,Periféricos,Rafael,Sul,8.0,86.58,0.0
9,2026-04-25,Cadeira Gamer,Móveis,Ana,Nordeste,2.0,1193.48,0.0
10,2026-02-07,Webcam,Periféricos,Carlos,Sul,2.0,229.54,0.0
11,2026-02-17,Cadeira Gamer,Móveis,Mariana,Centro-Oeste,3.0,1203.5,0.0
12,2026-01-20,Mouse,Periféricos,Carlos,Sudeste,1.0,84.58,0.0
13,2026-01-29,Webcam,Periféricos,Ana,Nordeste,7.0,222.0,0.15
14,2026-05-31,Notebook,Informática,Mariana,Centro-Oeste,7.0,3543.33,0.05
15,2026-04-25,Cadeira Gamer,Móveis,Beatriz,Sul,1.0,1138.14,0.15
16,2026-06-14,Mouse,Periféricos,Mariana,Centro-Oeste,3.0,85.47,0.0
17,2026-05-18,Webcam,Periféricos,Carlos,Sudeste,8.0,229.41,0.15
18,2026-04-08,Cadeira Gamer,Móveis,,Nordeste,1.0,1122.52,0.1
19,2026-06-28,Headset,Áudio,Joao,Sul,1.0,271.03,0.0
20,2026-05-16,Cadeira Gamer,Móveis,Ana,Nordeste,5.0,1172.0,0.0
21,2026-02-03,SSD 1TB,Armazenamento,Beatriz,Nordeste,2.0,491.88,0.0
22,2026-04-01,Headset,Áudio,Carlos,Nordeste,3.0,285.9,0.0
23,2026-02-20,Cadeira Gamer,Móveis,Joao,Sudeste,4.0,1171.83,0.0
24,2026-03-26,Teclado,Periféricos,Carlos,Sul,4.0,152.79,0.1
25,2026-04-27,Monitor,Informática,Rafael,Sul,8.0,1230.77,0.1
26,2026-02-14,Headset,Áudio,Mariana,Centro-Oeste,8.0,267.61,0.0
27,2026-03-28,Webcam,Periféricos,Mariana,Sul,2.0,216.59,0.05
28,2026-01-06,Notebook,Informática,Ana,Sudeste,4.0,3614.07,0.1
29,2026-04-10,Webcam,Periféricos,Ana,Sudeste,1.0,225.04,0.05
30,2026-03-16,SSD 1TB,Armazenamento,Mariana,Nordeste,6.0,524.41,0.1
31,2026-03-21,SSD 1TB,Armazenamento,Beatriz,Centro-Oeste,7.0,500.97,0.05
32,2026-05-13,Headset,Áudio,Joao,Sudeste,3.0,287.72,0.15
33,2026-02-11,Notebook,Informática,Carlos,Sudeste,2.0,3524.77,0.0
34,2026-06-06,Cadeira Gamer,Móveis,Joao,Nordeste,3.0,1198.57,0.05
35,2026-05-24,Monitor,Informática,Carlos,Sul,4.0,1195.35,0.05
36,2026-06-06,Monitor,Informática,Rafael,Sul,6.0,1181.09,0.1
37,2026-01-11,Mouse,Periféricos,Mariana,sul,1.0,81.69,0.0
38,2026-05-16,Mouse,Periféricos,Rafael,Centro-Oeste,8.0,82.39,0.0
39,2026-01-25,Notebook,Informática,Carlos,Nordeste,7.0,3391.56,0.0
40,2026-01-28,Webcam,Periféricos,Joao,Centro-Oeste,1.0,208.68,0.0
41,2026-06-07,Webcam,Periféricos,Carlos,Nordeste,4.0,207.63,0.05
42,2026-02-26,Cadeira Gamer,Móveis,Rafael,Centro-Oeste,2.0,1159.75,0.05
43,2026-02-22,Teclado,Periféricos,Beatriz,Nordeste,5.0,164.24,0.1
44,2026-03-27,Mouse,Periféricos,Rafael,Nordeste,7.0,80.19,0.1
45,2026-03-27,Headset,Áudio,Carlos,Nordeste,7.0,288.72,0.1
46,2026-03-30,Cadeira Gamer,Móveis,Ana,Sul,5.0,1156.98,0.05
47,2026-04-15,Notebook,Informática,Beatriz,Sul,4.0,3665.5,0.05
48,2026-06-01,SSD 1TB,Armazenamento,Ana,Nordeste,4.0,492.46,0.0
49,2026-04-09,Mouse,Periféricos,Mariana,Sudeste,8.0,87.42,0.15
50,2026-04-30,Mouse,Periféricos,Ana,Sul,4.0,86.0,0.05
51,2026-04-27,Monitor,Informática,Ana,Centro-Oeste,3.0,1253.97,0.15
52,2026-06-06,Mouse,Periféricos,Mariana,Centro-Oeste,3.0,88.18,0.1
53,2026-03-14,Headset,Áudio,Joao,Sudeste,1.0,270.24,0.0
54,2026-04-01,Webcam,Periféricos,Ana,Sudeste,3.0,208.49,0.0
55,2026-04-16,Headset,Áudio,Carlos,Nordeste,3.0,265.96,0.0
56,2026-04-23,Monitor,Informática,Rafael,Centro-Oeste,4.0,1270.41,0.05
57,2026-03-31,Cadeira Gamer,Móveis,Beatriz,Sul,2.0,1119.37,0.0
