id_venda,data,produto,categoria,vendedor,regiao,quantidade,preco_unitario,desconto,faturamento
1,2026-06-25,Headset,Áudio,Ana,Nordeste,3,265.96,0.0,797.8799999999999
2,2026-01-08,SSD 1TB,Armazenamento,Mariana,Sul,7,518.53,0.0,3629.71
3,2026-02-11,SSD 1TB,Armazenamento,Ana,Sul,2,550.96,0.0,1101.92
4,2026-05-19,Teclado,Periféricos,Carlos,Sudeste,1,160.46,0.0,160.46
5,2026-04-10,Notebook,Informática,Carlos,Nordeste,3,3517.87,0.1,9498.249000000002
6,2026-03-13,SSD 1TB,Armazenamento,Joao,Sul,8,491.21,0.0,3929.68
7,2026-02-12,Teclado,Periféricos,Joao,Sudeste,2,168.77,0.0,337.54
8,2026-03-23,Mouse,Periféricos,Rafael,Sul,8,86.58,0.0,692.64
9,2026-04-25,Cadeira Gamer,Móveis,Ana,Nordeste,2,1193.48,0.0,2386.96
10,2026-02-07,Webcam,Periféricos,Carlos,Sul,2,229.54,0.0,459.08
11,2026-02-17,Cadeira Gamer,Móveis,Mariana,Centro-Oeste,3,1203.5,0.0,3610.5
12,2026-01-20,Mouse,Periféricos,Carlos,Sudeste,1,84.58,0.0,84.58
13,2026-01-29,Webcam,Periféricos,Ana,Nordeste,7,222.0,0.15,1320.8999999999999
14,2026-05-31,Notebook,Informática,Mariana,Centro-Oeste,7,3543.33,0.05,23563.144499999995
15,2026-04-25,Cadeira Gamer,Móveis,Beatriz,Sul,1,1138.14,0.15,967.4190000000001
16,2026-06-14,Mouse,Periféricos,Mariana,Centro-Oeste,3,85.47,0.0,256.40999999999997
17,2026-05-18,Webcam,Periféricos,Carlos,Sudeste,8,229.41,0.15,1559.9879999999998
18,2026-04-08,Cadeira Gamer,Móveis,,Nordeste,1,1122.52,0.1,1010.268
19,2026-06-28,Headset,Áudio,Joao,Sul,1,271.03,0.0,271.03
20,2026-05-16,Cadeira Gamer,Móveis,Ana,Nordeste,5,1172.0,0.0,5860.0
21,2026-02-03,SSD 1TB,Armazenamento,Beatriz,Nordeste,2,491.88,0.0,983.76
22,2026-04-01,Headset,Áudio,Carlos,Nordeste,3,285.9,0.0,857.6999999999999
23,2026-02-20,Cadeira Gamer,Móveis,Joao,Sudeste,4,1171.83,0.0,4687.32
24,2026-03-26,Teclado,Periféricos,Carlos,Sul,4,152.79,0.1,550.044
25,2026-04-27,Monitor,Informática,Rafael,Sul,8,1230.77,0.1,8861.544
26,2026-02-14,Headset,Áudio,Mariana,Centro-Oeste,8,267.61,0.0,2140.88
27,2026-03-28,Webcam,Periféricos,Mariana,Sul,2,216.59,0.05,411.521
28,2026-01-06,Notebook,Informática,Ana,Sudeste,4,3614.07,0.1,13010.652
29,2026-04-10,Webcam,Periféricos,Ana,Sudeste,1,225.04,0.05,213.78799999999998
30,2026-03-16,SSD 1TB,Armazenamento,Mariana,Nordeste,6,524.41,0.1,2831.8140000000003
31,2026-03-21,SSD 1TB,Armazenamento,Beatriz,Centro-Oeste,7,500.97,0.05,3331.4505
32,2026-05-13,Headset,Áudio,Joao,Sudeste,3,287.72,0.15,733.686
33,2026-02-11,Notebook,Informática,Carlos,Sudeste,2,3524.77,0.0,7049.54
34,2026-06-06,Cadeira Gamer,Móveis,Joao,Nordeste,3,1198.57,0.05,3415.9245
35,2026-05-24,Monitor,Informática,Carlos,Sul,4,1195.35,0.05,4542.329999999999
36,2026-06-06,Monitor,Informática,Rafael,Sul,6,1181.09,0.1,6377.8859999999995
37,2026-01-11,Mouse,Periféricos,Mariana,Sul,1,81.69,0.0,81.69
38,2026-05-16,Mouse,Periféricos,Rafael,Centro-Oeste,8,82.39,0.0,659.12
39,2026-01-25,Notebook,Informática,Carlos,Nordeste,7,3391.56,0.0,23740.92
40,2026-01-28,Webcam,Periféricos,Joao,Centro-Oeste,1,208.68,0.0,208.68
41,2026-06-07,Webcam,Periféricos,Carlos,Nordeste,4,207.63,0.05,788.9939999999999
42,2026-02-26,Cadeira Gamer,Móveis,Rafael,Centro-Oeste,2,1159.75,0.05,2203.525
43,2026-02-22,Teclado,Periféricos,Beatriz,Nordeste,5,164.24,0.1,739.08
44,2026-03-27,Mouse,Periféricos,Rafael,Nordeste,7,80.19,0.1,505.19699999999995
